Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
"232 Wood St, Wrangell, AK 99929",56.449893,-132.364407,0.33,place,,,,,Wrangell,AK,,99929,US,TIGER/Line® dataset from the US Census Bureau
"8th St, Hydaburg, AK 99922",55.205909,-132.822075,1,street_center,,8th St Exn,,,Hydaburg,AK,Prince of Wales-Hyder Census Area,99922,US,TIGER/Line® dataset from the US Census Bureau
"1490 State Hwy, Bethel, AK 99559",60.793374,-161.769288,0.6,street_center,,Chief Eddie Hoffman Hwy,,,Bethel,AK,Bethel Census Area,99559,US,TIGER/Line® dataset from the US Census Bureau
"6000 Kanakanak Rd, Dillingham, AK 99576",59.001531,-158.536569,1,range_interpolation,6000,Kanakanak Rd,,,Dillingham,AK,Dillingham Census Area,99576,US,TIGER/Line® dataset from the US Census Bureau
"3122 E Meridian Park LP, Wasilla, AK 99654",61.591673,-149.362581,1,rooftop,3122,E Meridian Park Loop,,,Wasilla,AK,Matanuska-Susitna Borough,99654,US,Matanuska-Susitna Borough
"1717 W Cowles St, Fairbanks, AK 99701",64.832364,-147.744623,1,rooftop,1717,W Cowles St,,,Fairbanks,AK,Fairbanks North Star Borough,99701,US,Fairbanks North Star Borough
"1800 Craig Klawock Highway, Craig, AK 99921",55.476936,-133.147735,0.6,street_center,,Craig-klawock Hwy,,,Craig,AK,Prince of Wales-Hyder Census Area,99921,US,TIGER/Line® dataset from the US Census Bureau
"1510 19th Ave., Fairbanks, AK 99701",64.83058,-147.744472,1,range_interpolation,1510,19th Ave,,,Fairbanks,AK,Fairbanks North Star Borough,99701,US,TIGER/Line® dataset from the US Census Bureau
"125 Main Street, Dillingham, AK 99576",59.039947,-158.457926,0.9,range_interpolation,125,Main St E,,,Dillingham,AK,Dillingham Census Area,99576,US,TIGER/Line® dataset from the US Census Bureau
"1650 Cowles Street, Fairbanks, AK 99701",64.831495,-147.738563,1,rooftop,1650,Cowles St,,,Fairbanks,AK,Fairbanks North Star Borough,99701,US,Fairbanks North Star Borough
"1025 W Barnette St, Fairbanks, AK 99701",64.837683,-147.726751,1,rooftop,1025,W Barnette St,,,Fairbanks,AK,Fairbanks North Star Borough,99701,US,Fairbanks North Star Borough
"225 Front Street, Juneau, AK 99801",58.300425,-134.40654,1,range_interpolation,225,Front St,,,Juneau,AK,Juneau City and Borough,99801,US,TIGER/Line® dataset from the US Census Bureau
"195 E Bunnell Ave Ste C, Homer, AK 99603",59.639455,-151.541366,1,rooftop,195,E Bunnell Ave,Ste,C,Homer,AK,Kenai Peninsula Borough,99603,US,Copyright © 2015 Kenai Peninsula Borough
"3412 Glacier Hwy, Juneau, AK 99801",58.333013,-134.47161,1,rooftop,3412,Glacier Hwy,,,Juneau,AK,Juneau City and Borough,99801,US,City of Juneau
"630 Barnacle Way Ste A, Kenai, AK 99611",60.557555,-151.254233,1,rooftop,630,Barnacle Way,Ste,A,Kenai,AK,Kenai Peninsula Borough,99611,US,Copyright © 2015 Kenai Peninsula Borough
"605 Gateway Court, Ketchikan, AK 99901",55.354937,-131.685202,0.78,nearest_rooftop_match,623,Gateway Ct,,,Ketchikan,AK,Ketchikan Gateway Borough,99901,US,Ketchikan
"3223 E Palmer Wasilla Hwy Ste 3, Wasilla, AK 99654",61.58626,-149.369988,1,rooftop,3223,E Palmer-wasilla Hwy,Ste,3,Wasilla,AK,Matanuska-Susitna Borough,99654,US,Matanuska-Susitna Borough
"209 Moller Avenue, Sitka, AK 99835",57.059605,-135.344513,1,range_interpolation,209,Moller Ave,,,Sitka,AK,Sitka City and Borough,99835,US,TIGER/Line® dataset from the US Census Bureau
"814 Halibut Point Rd, Sitka, AK 99835",57.059632,-135.348097,1,range_interpolation,814,Halibut Point Rd,,,Sitka,AK,Sitka City and Borough,99835,US,TIGER/Line® dataset from the US Census Bureau
"607 Division St, Nome, AK 99762",64.499321,-165.40729,0.6,street_center,,Division St,,,Nome,AK,Nome Census Area,99762,US,TIGER/Line® dataset from the US Census Bureau
"103 Fram Street, Petersburg, AK 99833",56.812612,-132.954859,1,range_interpolation,103,Fram St,,,Petersburg,AK,Petersburg Census Area,99833,US,TIGER/Line® dataset from the US Census Bureau
"3200 Providence Drive, Anchorage, AK 99508",61.188357,-149.818747,1,rooftop,3200,Providence Dr,,,Anchorage,AK,Anchorage Municipality,99508,US,Municipality of Anchorage
"417 1st Avenue, Seward, AK 99664",60.105356,-149.446482,1,rooftop,417,1st Ave,,,Seward,AK,Kenai Peninsula Borough,99664,US,Copyright © 2015 Kenai Peninsula Borough
"210 Moller Ave, Sitka, AK 99835",57.059602,-135.344506,0.9,range_interpolation,210,Moller Ave,,,Sitka,AK,Sitka City and Borough,99835,US,TIGER/Line® dataset from the US Census Bureau
"1275 Sadler Way, Fairbanks, AK 99701",64.854763,-147.680571,1,rooftop,1275,Sadler Way,,,Fairbanks,AK,Fairbanks North Star Borough,99701,US,Fairbanks North Star Borough
"1001 Noble S, Fairbanks, AK 99701",64.839159,-147.713118,1,rooftop,1001,Noble St,,,Fairbanks,AK,Fairbanks North Star Borough,99701,US,Fairbanks North Star Borough
"120 Freeman, Thorne Bay, AK 99919",55.686123,-132.521526,1,range_interpolation,120,Freeman Dr,,,Thorne Bay,AK,Prince of Wales-Hyder Census Area,99919,US,TIGER/Line® dataset from the US Census Bureau
"1314 Alaska Highway, Tok, AK 99780",62.966723,-141.638522,0.6,street_center,,Alaska Hwy,,,Tok,AK,Southeast Fairbanks Census Area,99780,US,TIGER/Line® dataset from the US Census Bureau
"1001 Meals Ave, Valdez, AK 99686",61.121987,-146.258319,0.1,street_center,,Mill St,,,Valdez,AK,Valdez-Cordova Census Area,99686,US,TIGER/Line® dataset from the US Census Bureau
"1 Morgan Rd., Aniak, AK 99557",61.574585,-159.5301,0.6,street_center,,Morgan Rd,,,Aniak,AK,Bethel Census Area,99557,US,TIGER/Line® dataset from the US Census Bureau
"2936 Marti Lane, Montgomery, AL 36116",32.326598,-86.254415,1,rooftop,2936,Marti Ln,,,Montgomery,AL,Montgomery County,36116,US,City of Montgomery
"350 County Road 4 West, Prattville, AL 36067",32.429582,-86.465459,1,range_interpolation,350,County Rd 4 W,,,Prattville,AL,Autauga County,36067,US,TIGER/Line® dataset from the US Census Bureau
"1308 Tuscaloosa Avenue, Birmingham, AL 35211",33.493222,-86.853782,1,range_interpolation,1308,Tuscaloosa Ave,,,Birmingham,AL,Jefferson County,35211,US,TIGER/Line® dataset from the US Census Bureau
"Holiday Raceway 20105 US-11, Woodstock, AL 35188",33.17994,-87.165935,1,place,,,,,Woodstock,AL,Bibb County,35188,US,TIGER/Line® dataset from the US Census Bureau
